run_name,batch_size,max_memory_mb
unique-sweep-1,16,5167.482368
sweepy-sweep-8,16,5194.4832
devout-sweep-7,16,5183.991296
likely-sweep-6,16,5198.284288
earnest-sweep-9,16,5190.682112
copper-sweep-4,16,5199.195648
misunderstood-sweep-3,16,5188.060672
dauntless-sweep-2,16,5193.041408
clear-sweep-5,16,5189.109248
glowing-sweep-17,32,8601.04448
wobbly-sweep-10,32,8606.549504
winter-sweep-11,32,8599.864832
sweet-sweep-12,32,8606.156288
decent-sweep-13,32,8606.94272
ancient-sweep-14,32,8603.403776
expert-sweep-15,32,8603.403776
comfy-sweep-16,32,8606.28736
rich-sweep-18,32,8605.238784
